Country,Country Code,Series,Series Code,1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024]
South Asia developing,SAS,"Imports Merchandise, Customs, Price, US$, seas. adj.",DMGSRMRCHSAXD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,175924471625.46,180027053103.106,192017768584.64,213721046538.871,232751158905.724,246107088505.231,257536279110.247,272407957765.138,294531033277.073,302828304558.606,317109787565.378,339041721203.851,374798228186.739,411723523311.711,461000731892.195,527327595841.078,564521362066.968,566078953823.94,617760820513.065,650451684541.042,658933204353.218,675548858801.58,707556515259.047,732295989656.583,771132975708.95,805504971577.143,851611734672.669,864510985705.88,778931779773.965,881505456327.089,912639140442.031,953771677871.641,992455545710.535
South Asia developing,SAS,"Industrial Production, constant US$,,,",IPTOTNSKD,166824784790.758,170537746705.109,181889486905.172,202437125967.759,220532172723.087,234270487836.952,247920419182.592,262258583644.433,282332955441.875,290750833464.649,304613020705.52,325667825576.322,359641244247.313,395041118662.911,442461273643.148,506134570866.839,542275909337.964,543540196000.167,594840849055.607,626714486896.996,634760960365.874,650648999610.359,681498990527.434,705571197289.123,743362516603.082,776551452906.376,820927798924.33,832900580839.782,752295182107.382,848819511866.35,879262089507.481,919371367638.791,957273603914.444
South Asia developing,SAS,"Months Import Cover of Foreign Reserves,,,,",IMPCOV,0.37546691737,0.56454601713,0.8255995036,0.5739267978,0.53989084332,0.57395243766,0.60232975246,0.64678512033,0.67248623655,0.84209237065,1.12699030149,1.282157314,1.14128059419,0.83486548894,0.85104893314,1.0336308289,0.68223695073,0.98582310468,0.78373713876,0.59128841844,0.56855582581,0.58793308299,0.65156040873,0.8325056993,0.91187109224,0.83104560373,0.69690949862,0.86124799072,1.38984746094,0.98259542606,0.69757449079,0.84933944366,0.83695266608
South Asia developing,SAS,"Nominal Effective Exchange Rate,,,,",NEER,..,..,..,144.64706240824,136.4425471143,139.72730152131,131.87433857063,128.59144323068,129.71554092895,126.70114886403,123.26400631011,119.39626189837,116.25379896137,116.9464284284,112.99229289857,116.06003018616,104.94953255898,97.42759744985,99.98862740423,94.3552690649,85.04214408658,78.06935366433,76.3568913445,79.98163835394,78.76496697852,80.86632659612,74.90492451728,73.27957687981,69.77490349377,67.72171438125,67.03876307785,63.64817027312,64.03681302611
South Asia developing,SAS,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"Real Effective Exchange Rate,,,,",REER,..,..,..,78.673953455,78.49429193315,83.94596481506,87.11925384406,86.86636597343,88.67382072053,89.28625314378,88.14873668062,86.52916327399,85.12866857818,86.85793390767,86.07972898966,91.33383368302,87.03331825818,89.55049594262,99.96809434216,99.76371417777,96.13200353083,95.49667800487,97.21631062354,104.83362669666,105.88190475909,109.53082754356,104.71901151265,106.45876130173,106.52686976008,106.00077653043,108.02776739706,107.28322443607,109.84611386563
South Asia developing,SAS,"Retail Sales Volume,Index,,,",RETSALESSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"Stock Markets, LCU,,,",DSTKMKTXN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"Stock Markets, US$,,,",DSTKMKTXD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"Terms of Trade,,,,",TOT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
